SKU                       物料名称                            单个SKU拣选时间(秒)
612600082057:A01          喷油泵法兰                                  8.756
1000084369:A01            空压机润滑油管总成                              8.745
1008610595:A01            压板                                     8.744
1000664303:A01            燃油进油管总成                                8.744
1002493815:A01            排气管支架                                  8.738
1003250231:A01            燃油回油管总成                                8.732
612600070336:A01          机油滤清器润滑油管                              8.722
610800540127:A01          发动机支架                                  8.713
1003882750:A01            空压机润滑油管总成                              8.709
1006111577:A01            水管接头                                   8.702
1000134671:A01            支撑块                                    8.700
13061175:A01              增压器润滑油管总成                              8.696
1004662614:A01            冷却液连接胶管                                8.688
13031608:A01              冷却液连接胶管                                8.686
89200530051:A01           气路连接胶管                                 8.667
1007544142:A01            进气接管                                   8.650
1011786073:A01            空压机润滑油管总成                              8.648
13057169:A01              燃油回油管总成                                8.629
13071220:A01              燃油回油管                                  8.622
13057672:A01              排气接管                                   8.620
1005024089:A01            支架                                     8.604
1001580835:A01            燃油进油管总成                                8.599
1001879823:A01            波纹管                                    8.594
1008755117:A01            张紧轮支架                                  8.591
1003808658:A01            油标尺                                    8.589
1000685946:A01            加机油管总成                                 8.575
1000113535:A01            消声器支架                                  8.572
1000878250:A01            管接头                                    8.562
1000475636:A01            水管接头                                   8.557
13060973:A01              燃油进油管总成                                8.554
13021930:A01              增压器润滑油管                                8.549
1017637091:A01            加机油管总成                                 8.549
610800130268:A01          空压机润滑油管总成                              8.541
612600090480:A01          传感器座                                   8.538
1001872130:A01            中间齿轮总成                                 8.535
612600114015:A01          支架                                     8.523
1002785742:A01            发动机吊板                                  8.520
1002855895:A01            盖板                                     8.520
13068111:A01              进气接管                                   8.518
13031989:A01              燃油回油管总成                                8.484
612600062398:A01          水管接头                                   8.472
1001398619:A01            管夹总成                                   8.471
612600170280:A01          后取力润滑油管总成                              8.457
13025740:A01              卡箍                                     8.454
612600040337:A01          接头                                     8.452
610800110689:A01          气路连接胶管                                 8.452
610800540134:A01          发动机支架                                  8.450
612600083538:A01          燃油回油管总成                                8.448
13026793:A01              管                                      8.444
1000100048:A01            管夹总成                                   8.432
1000288037:A01            支架                                     8.429
13060501:A01              燃油滤清器支架                                8.418
13060972:A01              燃油进油管总成                                8.400
1005177562:A01            线束支架                                   8.398
612640130648:A01          温度传感器                                  8.373
1001377982:A01            增压器润滑油管总成                              8.373
1007918468:A01            支撑块                                    8.368
1002491975:A01            燃油进油管总成                                8.363
610800110008:A01          增压器润滑油管总成                              8.361
1001902070:A01            中间齿轮轴                                  8.353
1000837104:A01            支架                                     8.349
1010337755:A01            ECU支架                                  8.342
1003645983:A01            水管接头                                   8.337
612600117167:A01          进气接管                                   8.336
1000157202:A01            信号盘                                    8.329
1000951529:A01            接头                                     8.328
1009648889:A01            发动机吊板                                  8.327
1000151350:A01            燃油进油管总成                                8.321
1002122088:A01            法兰                                     8.305
